Chr,ahya_10k,aken_10k,aspat_10k,ahya_1k,aken_1k,aspat_1k,ahya_20k,aken_20k,aspat_20k,ahya_2k,aken_2k,aspat_2k,ahya_500,aken_500,aspat_500,ahya_5k,aken_5k,aspat_5k,informative_sites
uce-990291927,15564,5485,15300,1917,714,1815,30324,10353,26029,4069,1545,3790,1150,635,1114,8534,3159,7865,1460
uce-990291951,19134,7395,18982,2149,1032,2154,37229,11460,37408,4145,1497,4154,1150,722,1154,9790,4022,9803,896
uce-990291965,19061,8973,18524,2107,996,1977,24583,9051,29761,3424,1629,3951,1098,472,1059,9507,5786,9794,1479
uce-990292026,15613,11692,17442,2159,1772,2159,33360,20026,32141,4127,2930,4040,1159,1064,1159,7893,6670,8137,856
uce-990292074,10684,3620,9930,2112,1328,1379,9624,2931,9699,4079,2005,3146,1060,526,623,9546,3951,6788,1120
uce-990292215,18109,5411,18394,2018,1516,2024,31033,10803,30803,3496,2179,3942,1116,734,1116,9423,4289,10018,945
uce-990292229,15352,11956,17339,2003,1721,2049,31881,18228,31865,4060,3239,4048,1105,1032,1021,9049,6244,9201,1113
uce-990292297,17922,8196,17782,1986,1312,2095,34049,14516,33861,3960,2746,3997,1075,672,1049,9058,4571,9392,1747
uce-990292417,15316,7193,16165,2013,748,1897,9972,1074,7226,3919,1758,3980,1117,541,1066,9599,4359,8532,2876
uce-990292488,9033,2875,9742,2097,1261,2140,9050,4660,10469,4126,2839,4147,1127,766,1145,9358,5105,9420,1060
uce-990292500,17751,7210,18130,1809,1616,2116,33138,11375,34544,3734,2629,3746,729,952,944,8932,5407,9061,702
uce-990292506,17483,6770,18276,1990,825,1993,18100,9633,20522,3827,1897,4094,1068,545,1119,9641,2836,9830,1436
uce-990292528,13004,4846,12723,1752,988,1957,23546,7792,21119,3844,2030,3822,1101,673,1104,8682,3527,7970,752
uce-990292632,19136,8071,19827,2103,1304,2103,37304,13219,37594,4052,2209,4103,1103,802,1103,9357,4154,9893,2402
uce-99029266,17893,7536,13719,2258,1071,2266,35210,13200,30837,4205,1532,4187,1266,595,1266,9656,4779,7079,1117
uce-990292782,12384,3960,12390,2009,755,1935,12049,3876,9982,4007,799,3936,1111,496,1137,9783,2226,9787,630
uce-990292913,10361,6681,6778,2159,1819,2159,8581,5808,5439,4031,2053,4110,1159,1159,1159,9319,4583,7084,1551
uce-990292927,3598,1711,3862,2156,979,2155,4884,2802,4754,3912,1237,4152,1156,796,1155,4781,1884,4964,1704
uce-990293012,4268,647,3794,1768,1156,1951,4466,642,4124,3444,2192,3695,1004,796,1117,4796,1663,3871,810
uce-990293079,17062,8379,16251,2125,1164,2158,28661,12241,26691,3553,2499,3647,1152,778,1158,9044,5292,8210,2318
uce-990293126,18900,8281,20041,1934,987,2050,25664,15134,38582,3692,1994,4070,1138,724,1159,9057,5220,10123,759
uce-990293128,15664,8497,13171,1759,1553,1971,8322,4198,4666,3917,2136,3967,1115,868,1134,9195,5930,9183,851
uce-990293179,18802,11840,19462,2142,1334,2144,36364,21553,37924,4134,2064,4125,1142,764,1144,9759,5458,10142,1692
uce-99029338,12884,10712,15667,1761,1670,1684,12750,7470,8157,3439,3424,3274,1029,677,1023,7549,7273,8648,1002
uce-990293574,18283,6207,19148,2062,720,2096,36090,9702,24005,3856,1618,3916,1102,576,1100,9618,4147,9771,1609
uce-990293580,17486,8450,18709,1868,1738,2053,32933,16914,32644,2862,3029,3681,1142,802,1157,8879,5003,9562,1287
uce-99029473,18630,9745,19836,2107,1719,2107,36650,20216,37725,3424,3468,3829,1159,1033,1159,9360,6103,9859,1025
uce-99029557,4626,1556,4060,1488,1281,1969,3154,1202,2386,3564,2107,3966,764,693,904,4205,3347,5093,1360
uce-99029881,18965,8598,18246,2106,1351,2106,25690,10897,27729,4052,2210,4074,1106,723,1106,10082,4241,9972,585
uce-99029911,12948,3769,12551,1999,973,1220,10315,3856,12612,3861,2108,2469,766,763,488,9370,2844,8118,730
uce-99029913,10147,11605,16325,1760,1642,1779,14511,17844,22763,3442,3156,3723,1080,882,1083,6399,6549,7327,1731
uce-990311,16082,6522,19249,1922,1253,2157,28428,12633,34054,3674,1738,4157,1158,582,1158,8270,3149,10118,1432
uce-990345,4160,3009,2600,1714,1788,2053,4873,1311,2272,3331,2652,4037,1010,887,1052,3064,2008,4789,1024
uce-990350,17289,5711,16606,1932,1582,1830,16361,6181,13767,3978,2367,3937,848,895,1051,9153,3589,9027,1369
uce-990369,18795,6936,18500,2014,1012,2004,33635,11320,34014,3677,1593,3678,1159,616,1132,10127,3723,10010,477
uce-990379,3570,1303,3518,629,1340,1666,3928,913,4340,2449,1756,2333,545,504,744,1101,647,2005,1000
uce-99042,11042,3605,13774,1306,1435,1277,12442,4876,14927,2527,2236,2712,1007,643,1066,8414,4106,7476,840
uce-990431,13672,11644,12439,1986,1340,2159,15275,10545,14902,3967,2589,3940,1154,469,1159,7842,6562,7678,532
uce-990437,2304,768,2739,2156,1954,1892,605,1063,2379,3004,2595,3477,1158,849,1158,2828,1270,3440,1056
uce-990442,7882,10871,11607,1311,1112,1277,10565,11638,15250,1171,1836,1946,729,859,636,3130,4471,6767,1303
uce-990623,19023,7420,19310,2149,1271,2063,35669,12794,36564,4148,2456,3925,1153,848,1154,10006,4794,9983,915
uce-990635,6533,4019,2883,1626,755,1555,7094,2348,4920,3756,1337,3688,1034,509,625,7214,2658,5135,1285
uce-990745,19630,7686,19234,2051,1843,2159,36048,14066,36887,4121,3074,4157,1046,956,1146,9976,5572,9997,1787
uce-990763,18089,6925,19251,1979,867,1945,32982,12906,37074,3595,2414,4019,991,462,967,9586,4570,9861,892
uce-990783,2126,1379,2236,1787,594,1742,2735,1362,2178,2967,1963,2843,932,477,824,2286,2040,2591,835
uce-990818,6738,4286,6999,1575,991,1642,7100,4775,6937,3003,1766,3708,851,542,838,7080,2538,7957,1883
uce-990822,16334,9462,17938,2097,1557,1997,22371,12444,26718,3343,3373,3906,1159,733,1139,8380,6272,9532,1746
uce-990959,18460,6577,19414,1780,900,1875,36182,13327,36831,3736,1614,3783,939,588,967,9361,3730,9753,2371
